id,lesson,lesson_title,context,point,meaning,formation,jlpt,example_jp,example_en,nuance
1,11,Lifestyles,reporting survey results,〜ということだ／〜とのことだ,I hear that / it is said that (reporting from a source),plain form + ということだ／とのことだ,N3,天気予報によると、明日は雨が降るということだ。,"According to the forecast, it'll rain tomorrow.",とのことだ is slightly more formal/written. (Note: 〜ということだ can also mean 'in other words / this means.')
2,11,Lifestyles,reporting survey results,〜に対して,toward / in contrast to,Noun + に対して,N3,この問題に対して、いろいろな意見がある。,There are various opinions toward this problem.,"Two senses: a target of action/feeling, or a contrast between two things."
3,11,Lifestyles,reporting survey results,〜ものの／〜とはいうものの,"although; even though (X is true, but the expected Y doesn't follow)","plain form + ものの（なAdj+な/である, Noun+である）",N2,免許は取ったものの、車がないので運転していない。,"Although I got my license, I don't drive since I have no car.",Written/formal; the second clause counters the expectation set up by the first.
4,11,Lifestyles,reporting survey results,〜といっても,"although I say X, the reality is more modest/different",plain form / Noun + といっても,N3,料理ができるといっても、卵焼きぐらいだ。,"Although I say I can cook, it's only about omelettes.",Corrects an overestimation the listener might form.
5,11,Lifestyles,describing lifestyle trends,〜とは〜ことだ／〜とは〜ということだ,X means Y (defining a term),Noun + とは + explanation + ことだ／ということだ,N2,「敷金」とは、部屋を借りるときに預けるお金のことだ。,'Shikikin' refers to money you deposit when renting a room.,Used to define or explain a term.
6,11,Lifestyles,describing lifestyle trends,〜にしても／〜にしろ／〜にせよ,even if / even supposing; whether (concession),plain form / Noun + にしても／にしろ／にせよ,N2,行くにしても、準備が必要だ。,"Even if we go, preparation is needed.",にしろ／にせよ are more formal/written than にしても.
7,11,Lifestyles,describing lifestyle trends,〜つつある,to be in the process of ~ing (a gradual trend),Verb ますstem + つつある,N2,日本の人口は減りつつある。,Japan's population is gradually decreasing.,Written; stresses an ongoing movement in one direction.
8,11,Lifestyles,describing lifestyle trends,〜結果,"as a result of (doing X), Y",Verb た / Noun の + 結果,N2,話し合った結果、計画を変更した。,"As a result of discussing it, we changed the plan.",The outcome of a deliberate action or process.
9,11,Lifestyles,cancelling plans,〜づらい,hard to do (often from reluctance/discomfort),Verb ますstem + づらい,N3,この字は小さくて読みづらい。,This text is small and hard to read.,Cf. 〜にくい (neutral difficulty); 〜づらい often implies the speaker feels reluctant.
10,11,Lifestyles,cancelling plans,〜んだから／〜のだから,"since X is obviously the case, naturally Y",plain form + んだから（なAdj/Noun+な）,N3,もう大人なんだから、自分で決めなさい。,"Since you're an adult now, decide for yourself.","X is presented as a known/obvious reason, often with emotion (urging, reproach)."
11,11,Lifestyles,stating your view,〜からすると／〜からすれば／〜から見ると／〜から見れば,judging from / from the standpoint of X,Noun + からすると／から見ると,N2,彼の表情からすると、結果はよくなかったようだ。,"Judging from his expression, the result wasn't good.",Draws an inference from evidence or a viewpoint.
12,11,Lifestyles,stating your view,〜というより（も）,"rather than X, it's more like Y",plain form / Noun + というより,N3,彼は厳しいというより、冷たい。,"Rather than strict, he's cold.",Picks a more accurate description over a first one.
13,11,Lifestyles,stating your view,〜のではないでしょうか／〜んじゃないでしょうか,isn't it perhaps the case that ~? (softened opinion),plain form + のではないでしょうか（なAdj/Noun+な）,N3,その考え方は少し古いのではないでしょうか。,Isn't that way of thinking a bit old-fashioned?,Politely and indirectly states one's own opinion.
14,12,Health of mind & body,asking for advice when down,〜にしても〜にしても／〜にしろ〜にしろ／〜にせよ〜にせよ,whether X or Y (in either case the same holds),Noun/plain + にしても + Noun/plain + にしても,N2,行くにしても行かないにしても、連絡してください。,"Whether you go or not, please let me know.",Paired form listing two contrasting cases.
15,12,Health of mind & body,asking for advice when down,〜ばかりだ／〜一方だ,to keep ~ing (steady change in one direction),Verb dictionary form + ばかりだ／一方だ,N2,病気は悪くなる一方だ。,The illness just keeps getting worse.,一方だ is neutral/written; ばかりだ often carries a negative tone.
16,12,Health of mind & body,asking for advice when down,〜気味,a touch of / tending toward,Verb ますstem / Noun + 気味,N2,最近、疲れ気味だ。,Lately I've been a bit tired.,Usually a slightly negative/undesirable tendency.
17,12,Health of mind & body,talking about exercise,〜からといって,"just because X, it doesn't (necessarily) mean Y",plain form + からといって,N2,お金があるからといって、幸せとは限らない。,Just because you have money doesn't mean you're happy.,"Often paired with a negative ending (とは限らない, わけではない)."
18,12,Health of mind & body,talking about exercise,〜に応じ（て）／〜に応じた,in accordance with / depending on X,Noun + に応じて／に応じた + Noun,N2,収入に応じて税金が決まる。,Tax is determined according to income.,Y varies to match X.
19,12,Health of mind & body,talking about exercise,〜さえ〜ば,"if only X, then (that's enough)",Noun + さえ + conditional ば（Verbstem + さえすれば）,N2,薬さえ飲めば、すぐに治る。,"If you just take the medicine, you'll recover soon.",X is the single sufficient condition.
20,12,Health of mind & body,reading about sleep,〜に対して／〜に対する（対象）,with respect to / toward (an object of action/feeling),Noun + に対して／に対する + Noun,N3,この問題に対する関心が高まっている。,Interest regarding this problem is rising.,Here the 'object/target' sense (vs. the contrast sense).
21,12,Health of mind & body,reading about sleep,〜やら〜やら,what with X and Y (a jumble of things),Noun/plain + やら + Noun/plain + やら,N2,引っ越しで、荷造りやら手続きやらで忙しい。,"With packing and paperwork and all, I'm busy with the move.",Lists representative (often troublesome) items.
22,12,Health of mind & body,responding with opinion,〜なんて／〜なんか／〜など,"things like / such a thing as (surprise, disdain, humility)",Noun/plain + なんて／なんか／など,N3,あきらめるなんて、もったいない。,Giving up — what a waste.,Adds emotional color. なんか is colloquial; など more formal.
23,12,Health of mind & body,responding with opinion,〜として〜ない,not even one ~ (total negation),一+counter + として + negative,N2,一人として反対する人はいなかった。,There wasn't a single person who opposed.,Emphatic complete negation.
24,12,Health of mind & body,responding with opinion,〜というものだ,that's what you'd call ~; that's simply ~,plain form / Noun + というものだ,N2,困っている人を助けるのが人情というものだ。,Helping people in trouble is simply human kindness.,States an evaluation/conclusion as a general truth.
25,12,Health of mind & body,responding with opinion,〜とは限らない,it's not necessarily the case that ~,plain form + とは限らない,N2,高いものがいいとは限らない。,Expensive things aren't necessarily good.,Denies a generalization; often paired with からといって.
26,13,Connecting through trends,introducing what you're into,〜とともに（一緒に）,together with / along with,Noun + とともに,N2,家族とともに新年を迎えた。,I welcomed the new year together with my family.,Here the 'accompaniment' sense.
27,13,Connecting through trends,introducing what you're into,〜しかない,have no choice but to / there's only ~,Verb dictionary form / Noun + しかない,N3,電車が止まったので、歩くしかない。,"The train stopped, so there's no choice but to walk.",Resignation to the only available option.
28,13,Connecting through trends,introducing what you're into,〜ないではいられない／〜ずにはいられない,can't help ~ing,Verb ない+ではいられない／Verb ないstem+ずにはいられない（する→せずに）,N2,あの映画を見ると、泣かずにはいられない。,"When I watch that film, I can't help crying.",An irrepressible feeling or urge.
29,13,Connecting through trends,summarizing a work,〜一方（で）,"on one hand ~, on the other; while ~",plain form + 一方（で）,N2,彼は厳しい一方で、優しいところもある。,"While he's strict, he also has a kind side.",Presents two contrasting aspects.
30,13,Connecting through trends,summarizing a work,〜（さ）せられる,to be made to do; to be moved/struck (spontaneous),Verb causative + られる（食べさせられる）,N3,この本にはいろいろ考えさせられた。,This book really made me think.,"Causative-passive 'made to,' also 'it makes you (feel)'."
31,13,Connecting through trends,how things spread,〜のみならず,not only X (but also Y),Noun / plain form + のみならず,N2,彼は英語のみならず、中国語も話せる。,He can speak not only English but also Chinese.,Formal/written equivalent of だけでなく.
32,13,Connecting through trends,how things spread,〜と同時に,at the same time as; as well as,Verb dictionary / Noun + と同時に,N2,ベルが鳴ると同時に、生徒が教室を出た。,"The moment the bell rang, the students left the classroom.","Simultaneity, or 'and also' in writing."
33,13,Connecting through trends,how things spread,〜によって／〜により／〜による,by means of / due to / depending on / by (agent),Noun + によって,N3,インターネットによって生活が便利になった。,Life became convenient thanks to the internet.,"Multiple senses: cause, means, agent, variation."
34,13,Connecting through trends,requesting a repair,〜だけに,precisely because X (so all the more Y),plain form / Noun + だけに,N2,期待していただけに、結果にがっかりした。,"Precisely because I'd had hopes, I was all the more disappointed.",The result is heightened by X.
35,13,Connecting through trends,requesting a repair,〜としても,even if / even supposing X (Y still holds),plain form / Noun + としても,N3,雨が降ったとしても、試合は中止しない。,"Even if it rains, the match won't be cancelled.",Hypothetical concession.
36,13,Connecting through trends,on-site event report,〜に先立って／〜に先立ち,prior to / in advance of,Noun / Verb dictionary + に先立って,N2,開店に先立って、関係者を招いた。,"Prior to the opening, related parties were invited.",Formal; for events that have preparation beforehand.
37,13,Connecting through trends,on-site event report,どちらかというと／どちらかといえば,if anything / rather,set phrase + statement,N3,どちらかというと、私は犬より猫が好きだ。,"If anything, I prefer cats to dogs.",Softly indicates a leaning when the difference is slight.
38,14,Culture shock,reacting to customs,〜ばかりでなく／〜ばかりか,"not only X (but also Y, often more extreme)",plain form / Noun + ばかりでなく／ばかりか,N2,彼は遅刻したばかりか、謝りもしなかった。,"Not only was he late, he didn't even apologize.","ばかりか often adds an unexpected, stronger second item."
39,14,Culture shock,reacting to customs,〜（か）と思うと／〜（か）と思ったら,"no sooner ~ than; just when I thought X, suddenly Y",Verb た + （か）と思うと,N2,赤ちゃんは泣いていたかと思うと、もう眠っていた。,"Just when the baby was crying, it was already asleep.","Two events in quick, surprising succession."
40,14,Culture shock,reacting to customs,〜てならない,can't help feeling ~; extremely (uncontrollable),Verb て / Adj くて / なAdjで + ならない,N2,試験の結果が気になってならない。,I can't stop worrying about the exam results.,"Spontaneous, strong feelings/sensations beyond control."
41,14,Culture shock,handling a hard request,〜ことは〜が,"it's true that X, but ~ (qualified admission)",Verb/Adj + ことは + same word + が,N3,行くことは行くが、少し遅れるかもしれない。,"I will go, but I might be a little late.",Admits X partially while adding a reservation.
42,14,Culture shock,handling a hard request,〜によっては,"depending on the case, (sometimes Y)",Noun + によっては,N3,人によっては、辛い料理が苦手だ。,"Depending on the person, some can't handle spicy food.",Singles out certain cases among possibilities.
43,14,Culture shock,explaining a graph,〜から（に）は,"now that / since X (then, with resolve, Y)",plain form + からには,N2,約束したからには、必ず守る。,"Now that I've promised, I'll definitely keep it.",Strong resolve/obligation follows from X.
44,14,Culture shock,explaining a graph,〜どころか,far from X; let alone X,plain form / Noun + どころか,N2,漢字どころか、ひらがなも読めない。,"Far from kanji, he can't even read hiragana.",Negates X and presents a stronger contrary fact.
45,14,Culture shock,explaining a graph,〜得る／〜得ない,can / could possibly ~; cannot possibly ~,Verb ますstem + 得る（える・うる）／得ない,N2,そんなことは起こり得ない。,Such a thing couldn't possibly happen.,Possibility in principle; formal. 得る is read える or うる.
46,14,Culture shock,explaining a graph,〜に限らず,not limited to X (but more broadly),Noun + に限らず,N2,子供に限らず、大人もこのゲームを楽しめる。,Not just children — adults can enjoy this game too.,Expands beyond a single category.
47,14,Culture shock,describing differences,〜げ,looking ~ / seeming ~ (appearance of a feeling),Adj/なAdj stem + げ,N2,彼女は何か言いたげな顔をしていた。,She had a look as if she wanted to say something.,Outward appearance of an inner state.
48,14,Culture shock,describing differences,〜たとたん（に）,the moment / just as soon as ~,Verb た + とたん（に）,N2,立ち上がったとたんに、めまいがした。,"The moment I stood up, I felt dizzy.","Second event happens instantly, often unexpectedly."
49,14,Culture shock,describing differences,なんて〜んだろう／なんて〜だろう,how ~ ! (exclamation),なんて + Adj/plain + んだろう,N3,なんてきれいな景色なんだろう。,How beautiful this scenery is!,Strong exclamation of surprise/emotion.
50,14,Culture shock,describing differences,〜以来,ever since ~,Verb て / Noun + 以来,N2,日本に来て以来、彼に会っていない。,I haven't seen him ever since I came to Japan.,A state continuing from a past point up to now.
51,15,Living in the information society,how you use media,〜といった,such ~ as / ~ and the like (examples),Noun や Noun + といった + Noun,N2,サッカーや野球といったスポーツが人気だ。,Sports such as soccer and baseball are popular.,Lists representative examples of a category.
52,15,Living in the information society,how you use media,〜を通して／〜を通じて,through / by way of / throughout,Noun + を通して／を通じて,N2,友人を通して彼と知り合った。,I got to know him through a friend.,"A medium/intermediary, or 'throughout (a period).'"
53,15,Living in the information society,downsides of social media,〜に関して／〜に関する,concerning / regarding,Noun + に関して／に関する + Noun,N2,事故に関して詳しい情報はまだない。,There's still no detailed information regarding the accident.,Formal equivalent of について.
54,15,Living in the information society,downsides of social media,〜ばかりに,simply because X (a bad result followed),"plain form + ばかりに（なAdj+な/である, Noun+である）",N2,一言多かったばかりに、けんかになった。,"Just because I said one word too many, it turned into a fight.",X is the sole cause of an undesirable result; conveys regret.
55,15,Living in the information society,downsides of social media,〜か〜ないかのうちに,no sooner ~ than / almost the instant ~,Verb dictionary + か + Verb ない + かのうちに,N2,ベルが鳴るか鳴らないかのうちに、教室を出た。,"Almost before the bell finished ringing, he left the classroom.",Two events nearly simultaneous.
56,15,Living in the information society,downsides of social media,〜ことだ,should / the best thing is to ~ (advice),Verb dictionary / ない + ことだ,N3,上手になりたいなら、毎日練習することだ。,"If you want to get good, you should practice every day.",Direct advice/recommendation.
57,15,Living in the information society,worrying about info risks,〜てしかたがない／〜てしょうがない,can't help ~; extremely (uncontrollable feeling),Verb て / Adj くて + しかたがない／しょうがない,N3,彼に会いたくてしかたがない。,I want to see him so badly I can't stand it.,"しょうがない is more casual. Cf. てたまらない, てならない."
58,15,Living in the information society,worrying about info risks,〜代わりに,instead of / in exchange for,Verb dictionary / Noun の + 代わりに,N3,肉を食べる代わりに、魚を食べる。,"Instead of eating meat, I eat fish.",Substitution or a compensating trade-off.
59,15,Living in the information society,worrying about info risks,〜としたら／〜とすれば／〜とすると,if we assume / supposing that ~,plain form + としたら,N3,宝くじが当たったとしたら、何に使う？,"If you won the lottery, what would you spend it on?",A hypothetical premise for reasoning.
60,15,Living in the information society,worrying about info risks,〜かねない,might well ~ / there's a danger of (something bad),Verb ますstem + かねない,N2,無理をすると、病気になりかねない。,"If you overdo it, you might well get sick.",A negative possibility the speaker is concerned about.
61,15,Living in the information society,declining when you can't decide,〜てからでないと／〜てからでなければ,"unless ~ first, (Y can't happen)",Verb て + からでないと／からでなければ,N3,許可をもらってからでないと、入れない。,You can't enter unless you get permission first.,"X is a prerequisite, usually with a negative consequence."
62,15,Living in the information society,declining when you can't decide,〜わけにはいかない／〜わけにもいかない,can't (for social/moral reasons) ~,Verb dictionary / ない + わけにはいかない,N2,大事な会議だから、休むわけにはいかない。,"It's an important meeting, so I can't just take the day off.","Impossibility due to circumstance/obligation, not ability."
63,16,School life,school-day memories,〜ものだ／〜もんだ,used to ~ (nostalgia); how ~ it is (general truth),Verb た + ものだ（recollection）／Verb dictionary + ものだ（general truth）,N2,子供のころ、よくこの川で泳いだものだ。,"When I was a kid, I used to swim in this river a lot.",Here especially the nostalgic 'used to' sense.
64,16,School life,school-day memories,〜にかけては,when it comes to X (one excels),Noun + にかけては,N2,料理にかけては、彼の右に出る者はいない。,"When it comes to cooking, no one surpasses him.",Almost always a positive evaluation (skill/superiority).
65,16,School life,school-day memories,〜はともかく（として）,"setting X aside / X aside, ~",Noun + はともかく（として）,N2,味はともかく、見た目はいい。,"Taste aside, it looks good.",Defers X to focus on something more important.
66,16,School life,opinion on a post,〜ないことはない／〜ないこともない,it's not that ~ can't / it's possible (with reservation),Verb ない / Adj くない + ことはない,N3,頑張れば、できないことはない。,It's not as if you can't do it if you try.,Cautious double-negative affirmation.
67,16,School life,opinion on a post,〜も〜ば〜も／〜も〜なら〜も,both X and Y; there's X and also Y,Noun + も + conditional ば + Noun + も,N2,お金もなければ、時間もない。,I have neither money nor time.,Lists two parallel items (often two reasons or conditions).
68,16,School life,exam-season news,〜にわたって／〜にわたり／〜にわたる,over / spanning / throughout (a range or period),Noun + にわたって／にわたる + Noun,N2,会議は三日間にわたって行われた。,The conference was held over three days.,Emphasizes the extent or scope of a span.
69,16,School life,exam-season news,〜きる／〜きれる／〜きれない,to do completely; (un)able to finish doing,Verb ますstem + きる／きれる／きれない,N2,多すぎて、一人では食べきれない。,It's too much; I can't finish it alone.,Completion to the very end; きれない = can't manage to fully.
70,16,School life,exam-season news,〜にもかかわらず,despite / even though,Noun / plain form + にもかかわらず,N2,努力したにもかかわらず、失敗した。,"Despite making an effort, I failed.",Formal; the result contradicts expectation.
71,16,School life,encouraging someone,〜からいうと／〜からいって／〜からいえば,judging from / from the standpoint of X,Noun + からいうと,N2,経験からいうと、この方法が一番いい。,"Judging from experience, this method is best.","States a basis/viewpoint for judgment (for a person's feelings, use からすると)."
72,16,School life,encouraging someone,〜となると／〜となれば／〜となったら,when it comes to / if it becomes the case that ~,Noun / plain form + となると,N2,留学するとなると、お金が必要だ。,"When it comes to studying abroad, you need money.",Considers consequences once a situation is realized/assumed.
73,16,School life,encouraging someone,〜次第だ／〜次第で,depends on / depending on X,Noun + 次第だ／次第で,N2,成功するかどうかは、努力次第だ。,Whether you succeed depends on your effort.,Outcome is determined by X. (Different from ますstem+次第 'as soon as.')
74,16,School life,new ideas in education,〜ぬく,to do thoroughly / all the way through (despite difficulty),Verb ますstem + ぬく,N2,最後まで考えぬいて、答えを出した。,I thought it through to the very end and reached an answer.,Perseverance through hardship to completion. Cf. きる (neutral).
75,16,School life,new ideas in education,〜つつ,while ~ing; though (= つつも),Verb ますstem + つつ,N2,景色を楽しみつつ、歩いた。,I walked while enjoying the scenery.,Written/formal version of ながら; can also mean 'even though' (つつも).
76,17,Working,views on work,〜（っ）きりだ（それだけ）,only ~ / just ~ and nothing more,Noun + （っ）きり／Verb た + きり,N2,二人きりで話した。,We talked just the two of us.,Here the 'only that' sense.
77,17,Working,views on work,〜てはじめて,only after ~ / not until ~ (did I realize/could I),Verb て + はじめて,N2,失ってはじめて、その大切さに気づいた。,Only after losing it did I realize its importance.,X is the trigger that makes Y possible or realized.
78,17,Working,views on work,〜にすぎない,is no more than / merely ~,Noun / plain form + にすぎない,N2,それは言い訳にすぎない。,That's nothing more than an excuse.,Downplays X as trivial or limited.
79,17,Working,job-hunting pamphlet,〜にあたって／〜にあたり,on the occasion of / when (doing something important),Verb dictionary / Noun + にあたって,N2,卒業するにあたって、先生にお礼を言った。,"On the occasion of graduating, I thanked my teacher.",Formal; before a significant action or event.
80,17,Working,job-hunting pamphlet,〜を問わず,regardless of / irrespective of,Noun + を問わず,N2,年齢を問わず、誰でも参加できる。,"Anyone can participate, regardless of age.",Formal; X makes no difference. Often with paired opposites (男女を問わず).
81,17,Working,job-hunting pamphlet,〜上で,after ~ing / upon ~; in doing,Verb た / Noun の + 上で,N2,よく考えた上で、返事します。,I'll reply after thinking it over carefully.,Does Y on the basis of having done X first.
82,17,Working,job-hunting pamphlet,〜反面,on the other hand / while (two opposite sides),"plain form + 反面（なAdj+な/である, Noun+である）",N2,便利な反面、危険もある。,"While it's convenient, there's also danger.",Two contrasting aspects of one thing.
83,17,Working,explaining with examples,〜というか,or rather / how should I put it,plain form / Noun + というか,N2,うれしいというか、ほっとした。,"Happy, or rather, relieved.",Rephrases or hedges to find a more fitting description.
84,17,Working,explaining with examples,〜以上（は）／〜上は,now that / since X (then naturally/obligation Y),plain form + 以上は,N2,引き受けた以上は、最後までやる。,"Now that I've taken it on, I'll see it through.","Strong resolve/obligation, similar to からには."
85,17,Working,explaining with examples,〜限り／〜限りの,as far as / as long as / to the extent of,Verb dictionary / Noun の + 限り,N2,私の知る限り、彼は正直だ。,"As far as I know, he's honest.",Bounds a statement by a limit or scope.
86,17,Working,polite request email,〜ていただけないでしょうか,could you possibly ~ for me? (very polite request),Verb て + いただけないでしょうか,N3,少し待っていただけないでしょうか。,Could you possibly wait a moment?,"A highly polite, humble request."
87,17,Working,polite request email,〜ところ（を）,(even though you're) in the middle of ~ (politeness),Verb dictionary / Adj / Noun の + ところを,N2,お忙しいところを、ありがとうございます。,Thank you even though you're busy.,Set politeness phrase acknowledging the other's situation.
88,17,Working,phone call to arrange meeting,〜ていただけないかと思って,I was wondering if you could ~ (softened opener),Verb て + いただけないかと思って,N3,ご相談に乗っていただけないかと思って、お電話しました。,"I was wondering if you could give me some advice, so I called.","An indirect, humble way to open a request (often on the phone)."
89,18,Living on the planet (environment),environmental problems,〜つつ（も）,even though / although,Verb ますstem + つつも,N2,体に悪いと知りつつも、たばこをやめられない。,"Even though I know it's bad for me, I can't quit smoking.",つつも emphasizes the contradiction (vs. つつ 'while').
90,18,Living on the planet (environment),environmental problems,〜っぱなし,leaving something ~; keep ~ing continuously,Verb ますstem + っぱなし,N2,電気をつけっぱなしで寝てしまった。,I fell asleep with the light left on.,Often a negative nuance of negligence or unbroken continuation.
91,18,Living on the planet (environment),environmental problems,〜ことなく,without ~ing (formal),Verb dictionary + ことなく,N2,彼は休むことなく働き続けた。,He kept working without resting.,Written/formal equivalent of ないで.
92,18,Living on the planet (environment),environmental problems,〜上（に）,on top of / in addition to,"plain form + 上に（なAdj+な/である, Noun+の/である）",N2,この店は安い上に、おいしい。,"This place is cheap, and on top of that, tasty.",Adds a second point in the same (positive or negative) direction.
93,18,Living on the planet (environment),giving away items,〜向き,suited to / facing,Noun + 向き,N3,この本は初心者向きだ。,This book is suited to beginners.,Cf. 向け (made specifically for); 向き = naturally suitable. Also 'facing' (南向き).
94,18,Living on the planet (environment),giving away items,〜（よ）うにも〜ない,"even if one tries to ~, one can't",Verb volitional + にも + potential negative,N2,忙しくて、休もうにも休めない。,"I'm so busy that even if I wanted to rest, I can't.","Inability despite intention, due to circumstance."
95,18,Living on the planet (environment),cause & effect in nature,〜にしたがって,"as X progresses, Y; in accordance with",Verb dictionary / Noun + にしたがって,N2,年を取るにしたがって、体力が落ちる。,"As you age, your stamina declines.","Proportional change, or compliance with rules."
96,18,Living on the planet (environment),cause & effect in nature,〜にほかならない,is nothing other than / is precisely ~,Noun + にほかならない,N2,成功は努力の結果にほかならない。,Success is nothing other than the result of effort.,Emphatic assertion that X is exactly the cause/identity.
97,18,Living on the planet (environment),cause & effect in nature,〜あげく,"after (much) ~, in the end (often a bad result)",Verb た / Noun の + あげく,N2,さんざん迷ったあげく、買わないことにした。,"After agonizing over it, in the end I decided not to buy it.",A negative/unfortunate outcome after a prolonged process.
98,18,Living on the planet (environment),cause & effect in nature,〜ようがない,there's no way to ~,Verb ますstem + ようがない,N2,連絡先がわからないので、知らせようがない。,"I don't know the contact info, so there's no way to let them know.",Impossibility because no method exists.
99,18,Living on the planet (environment),nature you want to protect,〜わけがない,there's no way that ~ / it can't possibly be,"plain form + わけがない（なAdj+な, Noun+である）",N3,彼がそんなうそをつくわけがない。,There's no way he'd tell such a lie.,Strong logical denial of a possibility.
100,18,Living on the planet (environment),nature you want to protect,〜ことだろう／〜ことか,how ~ (it must be)! (exclamation of degree),plain form + ことか（なAdj+な; often どんなに/なんと + ...）,N2,合格して、どんなにうれしかったことか。,How happy I was to pass!,An emotional exclamation of degree.
101,18,Living on the planet (environment),nature you want to protect,〜に違いない,must be / I'm sure that ~,"plain form + に違いない（なAdj/Noun, drop だ）",N3,電気がついているから、家にいるに違いない。,"The light's on, so they must be home.","A strong, confident inference based on evidence."
