"test_number","section","question_number","word_bank","passage","question_text","choices","correct_answer","notes"
また、道を歩くときには、道の端のほうを歩きます。道幅を3対7に分け、普通に歩く人は端から3割の幅を通ります。道幅の残りの7割は急ぐ人や荷物や急病人の運ぶ人のために開けておきます。それを「七三歩き」といいます。当時、飛脚などに道を譲ったことから始まりました。","今の東京は400年前の江戸より狭いところに多くの人々が住んでいます","","❌",""
"14","Reading","2","","今から約400年前の江戸は...（略）","「江戸しぐさ」は狭い江戸の土地で人々がお互いにトラブルを起こさないための工夫でした","","✅",""
"14","Reading","3","","今から約400年前の江戸は...（略）","「傘かしげ」は雨が降っているときに、お互いの体に雨や雪のしずくがかからないように道を譲るマナーです","","❌",""
"14","Reading","4","","今から約400年前の江戸は...（略）","「七三の歩き」は道幅を3対7に分け、普通に歩く人が道の7割を使用するマナーです","","❌",""
"14","Reading","5","","A．自分がしていないことも謝る日本人
　　　留学生タニア(タイ)22歳
私はタイから来ました。今、近くのコンビニでアルバイトをしながら大学に入るための勉強しています。アルバイトをしていると、日本語の勉強になるばかりでなく、日本の習慣や日本人の考え方もわかってくるので、いい経験になると思っています。
この間、お店でこんなことがありました。お客さんの買い物かごが棚に当たって並べてあった商品が下に落ちてしまいました。ばさっと音がしたかと思うと、レジにいた先輩がさっと走ってきて、「あ、すいません」と言って落ちた商品の拾い始めたのです。
お客さんが落としたのに、「すいません」と謝るなんて、不思議でなりません。いったいどうして日本では自分がしていないことまで謝るのでしょうか？

B．「すみません」から思うこと
　　　主婦　中川美智子(東京) 48歳
先日タイの方からコンビニの店員さんの「すみません」について、投書がありましたが、今日私も同じような経験をしました。用品店でブラウスを見ていたときのことです。私がいた売り場の1枚のブラウスが、どういうわけか、ハンガーからするっと滑って床に落ちてしまいました。すると、すぐ店員さんが走ってきて、「すいません」と言いながら元通りに直して行きました。その時、私はさりげなくお客さんのことに気を配っていて、感じの良い店だなと思いました。
スターニャさんが見たコンビニの店員さんもきっとお客様を大事に思う気持ちから「すいません」というと一言が出たのではないでしょうか","商品が下に落ちそうだったので、スターニャさんの先輩は走ってきた","","❌",""
"14","Reading","6","","A．自分がしていないことも謝る日本人...（略）","中川さんは、Bの洋品店でブラウスが床に落ちたのは自分が原因で、店員さんは悪くないと思っている。","","❌",""
"14","Reading","7","","A．自分がしていないことも謝る日本人...（略）","スターニャさんの考える「すみません」の意味と、中川さんの考える「すいません」の意味は同じであると考えられる","","❌",""
"14","Reading","8","","A．自分がしていないことも謝る日本人...（略）","スターニャさんはコンビニでの出来事のような「すいません」に対して良いイメージを持っていない。","","✅",""
"14","Reading","9","","A．自分がしていないことも謝る日本人...（略）","中川さんは、スターニャさんに、自分がしていないことにも謝らなければならないのが日本の習慣や考え方だと理解して欲しくて新聞に投書した","","❌",""
"15","Vocabulary","1","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","今日は(　)お客が来て忙しかった","","つぎつぎに",""
"15","Vocabulary","2","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","「SNS疲れ」というのはSNSを楽しんでいるはずが、知らないうちに精神的な負担になってしまう(　)だ","","げんしょう",""
"15","Vocabulary","3","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","ゲームに夢中になっていたら、(　)朝になっていた","","いつのまにか",""
"15","Vocabulary","4","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","この映画を見て、家族の大切さを(　)教えられた","","あらためて",""
"15","Vocabulary","5","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","大切な(　)が消えてしまわないように、バックアップしておく","","データ",""
"15","Vocabulary","6","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","会議で、上司に自分の意見を(　)ことがショックだった","","ひていされた",""
"15","Vocabulary","7","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","ガラス製品は壊れやすいので、(　)時は慎重にしてください","","あつかう",""
"15","Vocabulary","8","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","試験までも時間がないから、睡眠時間を(　)勉強しています","","けずって",""
"15","Vocabulary","9","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","大学院の訪問する前に、先輩に連絡を(　)ほうがいい","","とった",""
"15","Vocabulary","10","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","母は初めて会った人にも(　)ことばかり言うので、恥ずかしくなる","","よけいな",""
"15","Grammar","1","かわりに, といった, としたら, にかんして, にかんする, ばかりに, をつうじて, をとおして","","そのニュースが事実(　)、大変なことになるよ","","としたら",""
"15","Grammar","2","かわりに, といった, としたら, にかんして, にかんする, ばかりに, をつうじて, をとおして","","ビザや学費(　)ことは、学校の事務室に相談してください","","にかんする",""
"15","Grammar","3","かわりに, といった, としたら, にかんして, にかんする, ばかりに, をつうじて, をとおして","","私はスキーやスノーボード(　)冬のスポーツが好きです","","といった",""
"15","Grammar","4","かわりに, といった, としたら, にかんして, にかんする, ばかりに, をつうじて, をとおして","","渡辺さんに日本語を教えてもらう(　)、私は英語を教えてあげている","","かわりに",""
"15","Grammar","5","","","携帯電話を見ながら運転すると、事故を(　)","起きかねない,起きかねる,起こしかねない,起こしかねる","起こしかねない",""
"15","Grammar","6","","","電車が駅に(　)たくさんの人が降りる準備をした","着くかと思ったら,着くか着かないかのうちに,着き次第,着いたに対して","着くか着かないかのうちに",""
"15","Grammar","7","","","A:Bさん、なんか調子が悪いみたいだから、今日はもう帰ったら？B:うん、本当は帰りたいんだけど、大事な試験があるから(　)んだよ。","帰らないわけにはいかない,帰らなくてでしょうか,帰りかねない,帰るわけにはいかない","帰るわけにはいかない",""
"15","Grammar","8","","","先生に許可を(　)、この部屋は使えません","もらったあとで,もらって以来,もらってからでないと,もらっただけに","もらってからでないと",""
"15","Grammar","9","","","「食欲の秋」のせいかわからないが、お腹が(　)","すかないわけにはいかない,すいてしょうがない,すきかねない,すくわけにはいかない","すいてしょうがない",""
"15","Reading","1","","最近プロ野球選手やタレントのブログで同じ商品が取り上がられているが、これは「ステマ」ではないこと言われている。ステマというのはステルスマーケティングの略で、広告と気付かれないように宣伝すること。例えば、「〇〇の〇〇はうまかった」などと話して聞かせることで、それを聞いた人だけでなく、周りにいた人にもそのお店を印象付けることができる。このステマが、インターネットの普及でいつの間にか広がっている。

有名人が企業から頼まれたものを「これいいよ！」と気軽に紹介する。それを見たファンが同じものを持ちたいばかりにそれを買う。さらにそれを他の人に伝える。これはファン心理を利用した広告と言えるのではないか。自分で選んでいるつもりが、実は誰かの意図で選ばされているのかもしれない。SNSを使えば、情報は一瞬で多くの人に伝わる。だから、情報を見抜く目が必要になる。また、自分が発信する言葉にも責任のまたなければならない。","ステマは、有名人が広告の中で商品を「これいいよ！」と紹介することである","","❌",""
"15","Reading","2","","最近プロ野球選手やタレントのブログで...（略）","ステマは、広告だとわからないように宣伝することである","","✅",""
"15","Reading","3","","最近プロ野球選手やタレントのブログで...（略）","好きな夢人が紹介したものを買った場合、それは100%自分の意志だと言える","","❌",""
"15","Reading","4","","最近プロ野球選手やタレントのブログで...（略）","ステマの影響を受けるのは、「〇〇の〇〇はうまかった」などといった話を有名人から直接聞いた人だけである","","❌",""
"15","Reading","5","","ここに1枚の壁新聞があります。ただの白い紙に黒と赤と青のマジックで手書きしたものです。まるで学生が作った新聞のように見えるかもしれませんが、上部の見出しと石上の日付をよく見ると、「日本最大級の地震、大津波平成23年3月12日」と書いてあります。この新聞は2011年3月11日の東日本大震災の翌日、地元の小さいな新聞社、石巻日日新聞社の記者たちが作ったものです。

石巻市は宮城県の北東部の海に面した人口160,000人ほどの市ですが、東日本大震災では地震による津波で町は大きな被害を受け、約3500人も市民が死亡、行方不明となりました。石巻日日新聞社も会社の建物が水に浸かり、建物の全体が停電し、印刷機など機械が使えなくなってしまいました。新聞の発行などとてもできない状態でしたが、余震が続く中、記者たちは「紙とペンさえあれば良い」と手書きの壁新聞を発行することにしました。社長以下記者たち皆が被災者で、家族の安否も確認できない状態でしたが、「地域がこんな時に何もしなかったら、自分たちの存在を自分たちで否定することになる」と考え、決断したのです。

記者たちは、泥水の中を歩いて市役所や警察を回り、避難所を訪ね、町の様子を見て、情報を集めました。各避難所の場所や、水や食べ物の配給、道や橋が通れるかどうかなど、避難所に逃げてきた人々にとって必要と思われるものを選んで書いていきました。「正確な情報で行動を！」紙面左に赤いマジックで書かれたその短いフレーズは、状況がわからずパニックになりがちな人々の心をどんなに落ち着かせてくれたことでしょう。記者たちは自ら被災者であっただけに、今欲しい情報が誰よりもわかっていたのです。何もわからないということは、不安を呼び、ストレスになります。「情報もまた、電気や水道と同じライフラインだ」、日日新聞の記者たちはそう思ったそうです。3日目からは見出しに「全国から物資供給」「支え合いで乗り切って　全国から激励のメッセージ」と「希望が見える」ものを取り上げました。大変な状況の中で前を向いて生きていくのに、情報が希望になると気づいたからです。結局、この壁新聞は会社に電気が通って、通常の仕事ができるようになるまでの6日間、市内の避難所6か所に貼り出されました。

このことがアメリカの新聞ワシントンポストを通じて報道され、壁新聞は世界中で有名になって、ワシントンにあるニュースジャーナリズム博物館ニューアムに永久保存されることになりました。また、日本国内のみならずパリでも展示が行われ、多くの人々が記者たちの「伝えなければ」という使命感を肌で感じました。

さまざまなメディアが発達し、毎日情報の洪水の中にいる私たちに、手書きの壁新聞が改めて情報の大切さを教えてくれたのではないでしょうか。","石巻日日新聞社は津波の被害を直接受けなかったので、紙とペンを使って手書きの壁新聞の作ることができました","","❌",""
"15","Reading","6","","ここに1枚の壁新聞があります。...（略）","石巻日日新聞社は2011年3月12日に手書きの壁新聞の貼り出しました","","✅",""
"15","Reading","7","","ここに1枚の壁新聞があります。...（略）","状況がわからず完全にパニックになってしまった人々の心を落ち着かせるために、日日新聞社の記者は人々の話をもとに記事を書きました","","❌",""
"15","Reading","8","","ここに1枚の壁新聞があります。...（略）","日日新聞の記者たちは地震が起きてから3日目から、人々が希望持てるように、不正確ではあるが「希望が見える」情報を記事に載せました","","❌",""
"15","Reading","9","","ここに1枚の壁新聞があります。...（略）","SNSなど様々なメディアが発達し、毎日情報の洪水の中にいる私たちに、石巻日日新聞社の壁新聞は改めて情報の大切さを教えてくれました","","✅",""
"16","Vocabulary","1","アイデア, アリバム, うん, シーズン, せいぜい, そのうち, テーマ, なんとなく, ば, ゆうするに","","今日の作文の(　)はなんですか？","","テーマ",""
"16","Vocabulary","2","アイデア, アリバム, うん, シーズン, せいぜい, そのうち, テーマ, なんとなく, ば, ゆうするに","","交流会の参加者は全部で40名でした。(　)留学生は26人でした。","","そのうち",""
"16","Vocabulary","3","アイデア, アリバム, うん, シーズン, せいぜい, そのうち, テーマ, なんとなく, ば, ゆうするに","","財布を忘れて困っていたところに、友達が来るなんてほんとに(　)が良い","","うん",""
"16","Vocabulary","4","アイデア, アリバム, うん, シーズン, せいぜい, そのうち, テーマ, なんとなく, ば, ゆうするに","","春は花見の(　)だ。桜が咲く公園は人でいっぱいになる。","","シーズン",""
"16","Vocabulary","5","アイデア, アリバム, うん, シーズン, せいぜい, そのうち, テーマ, なんとなく, ば, ゆうするに","","前に座っている女性を、(　)見ていたら、その人と目があってしまった","","なんとなく",""
"16","Vocabulary","6","いかして, おえ, しんけんな, ついた, つめた, ディスカッション, ふざけて, もとめ, ものすごい, リラックス","","明日中に、この仕事を(　)なければならない","","おえ",""
"16","Vocabulary","7","いかして, おえ, しんけんな, ついた, つめた, ディスカッション, ふざけて, もとめ, ものすごい, リラックス","","スーツケースに荷物を(　)","","つめた",""
"16","Vocabulary","8","いかして, おえ, しんけんな, ついた, つめた, ディスカッション, ふざけて, もとめ, ものすごい, リラックス","","今日は学校サボってしまった。明日先生に(　)怒られるなぁ。","","ものすごく",""
"16","Vocabulary","9","いかして, おえ, しんけんな, ついた, つめた, ディスカッション, ふざけて, もとめ, ものすごい, リラックス","",(　)いないで、真面目に答えなさい。","","ふざけて",""
"16","Vocabulary","10","いかして, おえ, しんけんな, ついた, つめた, ディスカッション, ふざけて, もとめ, ものすごい, リラックス","","面接ではグループ(　)を行います","","ディスカッション",""
"16","Grammar","1","きった, しだいだ, にかけては, にわたって, にわたる, はともかく, ものだ, ぬいた","","あの店は味(　)、料理が早く出てきて、値段の安いのがいい。","","はともかく",""
"16","Grammar","2","きった, しだいだ, にかけては, にわたって, にわたる, はともかく, ものだ, ぬいた","","彼は困り(　)顔で、私のところに相談に来た","","きった",""
"16","Grammar","3","きった, しだいだ, にかけては, にわたって, にわたる, はともかく, ものだ, ぬいた","","子供の頃、兄弟げんかをしてよく父に叱られた(　)","","ものだ",""
"16","Grammar","4","きった, しだいだ, にかけては, にわたって, にわたる, はともかく, ものだ, ぬいた","","私は計算の速さ(　)誰にも負けない自信があります","","にかけては",""
"16","Grammar","5","","","外国で一人暮らしを(　)となると、準備も大変でしょう","始める,始めて,始まる,始めた","始める",""
"16","Grammar","6","","","楽しかった旅行のことを思い出し(　)、アルバムを見る。","ぬき,きり,げに,つつ","つつ",""
"16","Grammar","7","","","ルームメイトのトムさんは、熱がある(　)、アルバイトに行った","からといって,にもかかわらず,一方で,としても","にもかかわらず",""
"16","Grammar","8","","","A:あれビールは飲まないの？お酒飲めないんだっけ。B:(　)けど、明日朝早いから。","飲めることはない,飲めないことはない,飲めるものだ,飲めかねない","飲めないことはない",""
"16","Grammar","9","","","A:私が作った料理よ。たくさん食べてね。B:わー美味しそう。でも僕1人じゃ(　)よ。","食べないことはない,食べきれない,食べぬけない,食べかねない","食べきれない",""
"16","Reading","1","","・僕は小学生の頃からずっと学校の掃除をしてきたけど、学校の掃除ってなんで生徒がするんだろう。業者の人が掃除すれば、もっときれいになるんじゃない？(たわしさん・中学生)
・掃除も教育の1つ掃除をすれば心もきれいになる　(ちゃおさん・会社員)
・自分たちが使うところだから、自分たちで掃除するのは当たり前。家でも自分の部屋は自分で掃除するでしょう。(レイさん・大学生)

Aさんの意見
私は学校の掃除は業者がしたほうがいいんじゃないかと思います。もちろん、自分の使う場所は自分の責任できれいにするという考えも理解できないことはありません。ものを大切に使う子供に育てたいという気持ちもあるのかもしれません。でも、子供が掃除をして、きれいになるのか疑問です。生懸命掃除している子供もいれば、ふざけている子供もいるので、時間がかかると思います。それに、学校内には、子供が掃除するには危ないところもあります。大人が隅々まできれいにしてくれるから、子供たちも気持ちよく勉強できるし、教室をきれいに使おうという気になるんじゃないかなと思います","Aさんは「たわしさん」の意見に賛成していません","","❌",""
"16","Reading","2","","・僕は小学生の頃からずっと学校の掃除をしてきたけど...（略）","Aさんは「ちゃおさん」の掃除も教育の一つという考えに対して、反対はしていません","","✅",""
"16","Reading","3","","・僕は小学生の頃からずっと学校の掃除をしてきたけど...（略）","Aさんは、子供が掃除をしても教室はきれいになると考えています","","❌",""
"16","Reading","4","","・僕は小学生の頃からずっと学校の掃除をしてきたけど...（略）","Aさんは大人が学校の危ない所を掃除してくれたら、子供も一緒に掃除をするのではないかと言っています","","❌",""
"16","Reading","5","","16歳の君に聞きたいことがある。
きっと君は今、「自分も高3になったら受験勉強して、どこかの大学に行くんだろうな」と思っている。ひょっとすると、もうなんとなく志望校を決めているのかもしれない。
それで君は、なぜ大学に行くのだろう？
親や先生が行けというから？友達も行ってるから？高卒では就職に不利みたいだから？
もし、君が「たったそれだけの理由」で大学に行くというのなら、行く意味は何かない。なぜなら、これらは全て「自分の外にある理由」だからだ。
考えてみて欲しい。親や先生、それから友達に自分の人生を決められるなんて、君はそれでいいのか？おかしな話だと思わないのか？
そして「大卒じゃないと就職に不利だ」というのもウソだ。高卒はもちろん、中学校卒業後に職人の世界に入り、そこから誰にも真似できないような素晴らしい業績を上げている人は、世の中ゴマンといる。
要するに君は、「ただなんとなく、皆そうしているから」大学に行こうとしているのだ。
そして君は「ただなんとなく、皆そうしているから」勉強しているのだ。
あれほど君たちを悩ませる国語も数学も英語も、そして理科も社会も、そんなあやふやな理由で勉強しているだけなのだ。
もちろん大人たちも勉強はする。
ビジネスマンがマーケティングの勉強したり、弁護士が法律の勉強したり、コックさんが新しいメニューの勉強したり。
でも、これらは、彼らにとって今日の仕事、明日の仕事に必要な勉強ばかりだ。勉強する理由、勉強しなければならない理由は、しっかりとある。
だから大人たちは、国語も数学も勉強しない。せいぜい英会話スクールに通う程度で、物理や地理を勉強しようとする大人なんて、ほとんどいない。そんなもの、今日や明日の仕事に何の関係もないからだ。
さあ、問題はここだ。
君たちはなぜ、大人たちもしないような勉強しているんだろう？
君たちはここで、何を学ぼうとしているのだろう？
もし、君たちが高校3年生になったら、こんなことを考える余裕はなくなる。そんなことを考える時間があったら、1つでも多くの単語を覚え、1つでも多くの計算式をこなすことが求められる。
だから、16歳という今、君たちに真剣に考えて欲しい。自分が勉強する理由、そして、自分が勉強するものの正体を","大学へ行く理由として「親や先生が行けと言っている」、「大卒じゃないと就職に不利だ」というのは「自分の外にある理由」だ。","","✅",""
"16","Reading","6","","16歳の君に聞きたいことがある。...（略）","大人たちもあやふやな理由でマーケティングや法律の勉強している","","❌",""
"16","Reading","7","","16歳の君に聞きたいことがある。...（略）","大学を出ていなくても誰にも真似できないような素晴らしい業績を上げている人は、世の中でに五万人います","","❌",""
"16","Reading","8","","16歳の君に聞きたいことがある。...（略）","筆者は、高校生は国語や数学、物理や地理を学ぶ事は求められていないと言っている。","","❌",""
"16","Reading","9","","16歳の君に聞きたいことがある。...（略）","筆者は高校3年生になったら、自分が勉強する理由や勉強するものの正体について真剣に考える必要はないと言っている。","","❌",""
"17","Vocabulary","1","かち, かつどう, クライアント, こうした, ただの, チャンス, のうりょく, プラス, マイナス, りえき","","今の会社は性別に関係なく、(　)次第で採用している","","のうりょく",""
"17","Vocabulary","2","かち, かつどう, クライアント, こうした, ただの, チャンス, のうりょく, プラス, マイナス, りえき","","彼はネットを使ったビジネスで多くの(　)を上げている","","りえき",""
"17","Vocabulary","3","かち, かつどう, クライアント, こうした, ただの, チャンス, のうりょく, プラス, マイナス, りえき","","どんなことも必ず自分のためになると(　)に考えるようにしている","","プラス",""
"17","Vocabulary","4","かち, かつどう, クライアント, こうした, ただの, チャンス, のうりょく, プラス, マイナス, りえき","","日本チームは少ない(　)を生かして、試合に勝つことができた","","チャンス",""
"17","Vocabulary","5","かち, かつどう, クライアント, こうした, ただの, チャンス, のうりょく, プラス, マイナス, りえき","","私は(　)理由から、ぜひこの学校で学びたいと思いました","","こうした",""
"17","Vocabulary","6","いらい, おしつけた, さいよう, しよう, たたかった, とりいれて, とりよせて, はたして, ほうもん, むいて","","営業の仕事は話すのが好きな人に(　)いる","","むいて",""
"17","Vocabulary","7","いらい, おしつけた, さいよう, しよう, たたかった, とりいれて, とりよせて, はたして, ほうもん, むいて","","あ社は様々な国の人が働いているため、社内では英語を(　)している","","しよう",""
"17","Vocabulary","8","いらい, おしつけた, さいよう, しよう, たたかった, とりいれて, とりよせて, はたして, ほうもん, むいて","","今度のイベントで、大学時代の先生に開会の挨拶を(　)した","","いらい",""
"17","Vocabulary","9","いらい, おしつけた, さいよう, しよう, たたかった, とりいれて, とりよせて, はたして, ほうもん, むいて","","代表チームはあきらめずに、最後までたたかった","","たたかった",""
"17","Vocabulary","10","いらい, おしつけた, さいよう, しよう, たたかった, とりいれて, とりよせて, はたして, ほうもん, むいて","","当社は若手社員のアイディアを(　)いる","","とりいれて",""
"17","Grammar","1","","","あの人と会ったのは一度(　)だから、どんな人かはよくわからない","かぎりの,きり,ばかり,しか","ばかり",""
"17","Grammar","2","","","忙しい(　)、すいません","ものの,にあたり,反面,ところを","ところを",""
"17","Grammar","3","","","彼はおとなしい(　)、ちょっと積極性に欠けるところがある","といっても,といったら,といった,というか","というか",""
"17","Grammar","4","","","90歳になる祖父は自分の(　)戦争体験を伝え続けたいと話している。","命限り,命に限り,命限りに,命の限り","命の限り",""
"17","Grammar","5","","","この薬はよく効く(　)、副作用もある","を問わず,はともかく,反面,ながらも","反面",""
"17","Grammar","6","","","種類にサインした(　)、キャンセルはできません","以上は,の限り,反面,を問わず","以上は",""
"17","Grammar","7","","","お礼は結構です。私は当然のことをした(　)。","だけあります,にすぎません,に限ります,次第です","にすぎません",""
"17","Grammar","8","","","()()(⭐️)()いただきます","限り,させて,できる,お手伝い","お手伝い","正しい順序: できる限りお手伝いさせて"
"17","Grammar","9","","","わが社は学歴()()(⭐️)()、やる気のある人人材を求めています","問わず,年齢,を,や","を","正しい順序: や年齢を問わず"
"17","Reading","1","","<企業が求めていること>
就職活動するときに大切な事は、日本企業が何を求めているかを知ることです。資料を取り寄せたり、会社説明会に参加したり、就職セミナーなどに積極的に参加したりして、企業研究をしましょう。

<日本企業が留学生を採用する理由>
留学生を採用したことがある企業に、その理由を聞いたところ、次のような回答がありました
・国籍に関係なく、優秀な人材を得るため
・海外に事業を展開するため
・仕事をする際に外国語の使用が必要なため
・日本人にはない発想を取り入れるため

<留学生に対する企業のイメージ>
企業は留学生に対して、周りの社員とコミュニケーションが取れるか、すぐに辞めるのではないか、などと不安を感じています。しかし、このようなマイナスイメージがある一方で、やる気、視野の広さ、語学力、専門的な知識、異文化への理解度などではプラスイメージを持っています。
これらの点をよく理解して、自分が役に立つ人材であることをしっかり自己PRしていきましょう","就職活動するときに大切な時は、語学能力や研究能力です","","❌",""
"17","Reading","2","","<企業が求めていること>...（略）","日本企業が留学生を採用する理由の1つとして、日本人とは違う考え方を取り入れたいということがある","","✅",""
"17","Reading","3","","<企業が求めていること>...（略）","企業は、留学生が周りの社員とコミュニケーションが取れない時にすぐに辞めても良いと思っている","","❌",""
"17","Reading","4","","<企業が求めていること>...（略）","就職活動では、留学生に対するイメージを全て持っている役に立つ人材であることをPRしていかなければなりません","","❌",""
"17","Reading","5","","君はこれからどんな仕事をしたいと思っているだろうか。子供の頃からの夢を持ち続けている人、自立するためならどんな仕事でもいいという人、何をすればいいのかわからないと言う人もいるだろう。
私は学生時代、イベントを企画するサークルに入ってきた。学園祭を始め、学内のコンサート、交流会など、いろいろなイベントを企画して、結構活動的だった。それで、卒業後は迷われず、イベント企画会社に就職した。ところが、その会社は私が期待したものとは違っていた。私は企画力に自信があったのだが、実際の仕事では予算やクライエントの意向が重視され、私のアイデアが採用される事はなかった。いろいろ悩んだ結果、3年でその会社を辞めてしまった。

次に、モノを作るのが面白そうだと思って、食品メーカーに就職した。営業部に配属されたが、先輩たちのようにうまく商品を売り込むことはできなかった。やはり、ここも自分には向いていないと考えていたときに、新しく作られた部署に配属された。それが今所属している社会貢献部だ。

今、企業は「社会的責任(CSR)」を強く求められている。ただ利益を上がるだけではなく、企業が社会の中でどのような役割を果たすかということが重視されるようになってきている。私の会社で取り組むことになったのは、里山を守る活動だった。

里山とは人々が生活する場所の周りにある山や雑木林などの自然のことだ。かつての農村では里山は人々の暮らしに欠かせない場所で、そこに住む人たちが手入れをしながら、共同で利用していた。里山のおかげで人の生活と自然のバランスが保たれていた。ところが、最近、手入れをする人が少なくなって、里山が荒れている。私の会社は自然の恵みを受けて仕事をしている食品メーカーとして、里山を守る活動に関わることになったのだ。

私は農家の話を聞いたり、植林や草刈り、木の伐採作業にも参加したったりした。そのうちに村の人々と親しくなって、都会の子供たちを里山に連れて行く活動なども始めた。最初は迷いながらの活動だったが、この仕事にやりがいを感じるようになった。今は仕事が楽しくしかない。

自分に合った仕事は簡単に見つかるものではない。しかし、その時に出合った仕事に一生懸命に取り組んでいるうちに、それが自分にとってかけがえのないものになることがある。私は今、それを実感してる。","筆者は学生時代、イベントサークルに入って、大学の学園祭を始めた","","❌",""
"17","Reading","6","","君はこれからどんな仕事をしたいと思っているだろうか。...（略）","筆者はイベントを計画するのが得意だったが、卒業後に最初に就職した会社ではその能力を生かせなかった","","✅",""
"17","Reading","7","","君はこれからどんな仕事をしたいと思っているだろうか。...（略）","筆者は食品メーカーをやめて、他の会社で里山守る活動をしている","","❌",""
"17","Reading","8","","君はこれからどんな仕事をしたいと思っているだろうか。...（略）","筆者は今、里山を守る活動を仕事としてやらなやらないわけにはいかないと思っている","","❌",""
"17","Reading","9","","君はこれからどんな仕事をしたいと思っているだろうか。...（略）","どんな仕事が自分にとって大切なのかはわからないので、どんどん仕事をかえたほうがいいと、筆者は思っている","","❌",""