id,section,sentence_jp,sentence_en,answer,reading,choices,why_correct,why_incorrect
1,文字,父親は子供を(すくおう)として川に飛びこんだ,The father jumped into the river intending to save his child.,救おう,すくおう,泳おう、助おう、救おう、守おう,救う(すくう) correctly becomes the volitional 救おう ('trying to save').,"泳おう, 助おう, 守おう are all incorrectly conjugated forms (the real volitionals would be 泳ごう, 助けよう, 守ろう) and none of them are read すくおう anyway."
2,文字,かぜは三日で(なおった),My cold got better in three days.,治った,なおった,始った、治った、拾った、置った,治る(なおる) = to heal/recover; 治った fits 'got better.',始った and 置った are not valid conjugations (真の forms would be 始まった／置いた). 拾った means 'picked up' — wrong meaning.
3,文字,旅行の(ひよう)は三万円です,"The trip costs 30,000 yen.",費用,ひよう,費要、貝用、費用、貝要,"費用 = cost/expenses, correct word and reading.","貝要, 費要, 貝用 all swap in look-alike kanji (貝 for 費, 要 for 用) to form non-existent words."
4,文字,国から友達が来たので、京都を(あんない)した,"A friend came from my country, so I showed them around Kyoto.",案内,あんない,案肉、安内、案内、安肉,案内する = to guide/show around; correct word.,"案肉, 安内, 安肉 swap in similar-sounding/looking kanji (案/安 both read あん; 内/肉 look similar) to make non-words."
5,文字,病気になって、(けんこう)の大切さに気づいた,"After getting sick, I realized how important health is.",健康,けんこう,建康、健候、健康、建候,健康 = health; correct word.,"建康, 健候, 建候 swap look-alike kanji (健/建 both けん; 康/候) into non-existent words."
6,文字,本棚を(せいり)してください,Please organize the bookshelf.,整理,せいり,正利、整利、正理、整理,整理する = to organize/tidy; correct word.,"正利, 整利, 正理 mix up look-alike kanji (正/整 both せい; 利/理 both り) into non-words."
7,文字,来年大学を(そつぎょう)する,I'll graduate university next year.,卒業,そつぎょう,率行、率業、卒行、卒業,卒業する = to graduate; correct word.,"率行, 率業, 卒行 confuse 率(りつ/そつ-like shape) with 卒, and 行 with 業 — none form real words."
8,文字,私は英語が(とくい)だ,I'm good at English.,得意,とくい,特意、特息、得息、得意,得意 = good at/skilled in; correct word.,"特意, 特息, 得息 mix up look-alike kanji (特/得 both とく; 意/息 look similar) into non-words."
9,文字,うそをついた自分を(はんせい)した,I reflected on myself for lying.,反省,はんせい,反正、半生、反省、半清,反省する = to reflect on/feel remorse for; correct word and meaning.,"半生(はんせい) is a real word but means 'half of one's life,' the wrong meaning here. 反正 and 半清 are not real words."
10,語彙,私が通っている高校はスポーツが()だ,This high school I attend is big on sports.,盛ん,さかん,豊か、盛ん、完全、立派,盛ん describes an activity being active/thriving — fits sports being a strong point of the school.,豊か (abundant) and 立派 (splendid) don't naturally collocate with スポーツ; 完全 (perfect) is the wrong meaning entirely.
11,語彙,海外旅行で、習った英語が()ときは、とてもうれしかった,I was so happy when the English I'd learned got through/was understood on my trip abroad.,通じた,つうじた,通した、詰めた、抜けた、通じた,通じる = to be understood/get across; fits '(my) English was understood.',"通した (pushed/let through), 詰めた (packed/stuffed), 抜けた (came out/slipped out) are all wrong meanings for language being understood."
12,語彙,今日までにしなければいけない仕事だったので、昨夜は()した,"It was work I had to finish by today, so I stayed up all night.",徹夜,てつや,徹夜、夜中、速達、快速,徹夜する is the set verb phrase meaning 'to stay up all night.',"夜中 (midnight/dead of night) is just a time noun, not a verb meaning 'to stay up.' 速達 (express mail) and 快速 (rapid train) are unrelated words."
13,語彙,道で()人が有名な歌手だと、後で気がついた,I later realized the person I passed on the street was a famous singer.,すれちがった,すれちがった,付き合った、すれちがった、近づけた、乗り越した,すれちがう = to pass by each other; fits passing a stranger on the street.,"付き合った (dated/went out with), 近づけた (brought closer, transitive), 乗り越した (rode past one's stop) don't fit the meaning."
14,語彙,時間がありませんので、細かい説明は()させていただきます,"Since we don't have time, I'll omit the detailed explanation.",省略,しょうりゃく,節約、報告、省略、消費,省略する = to omit/abbreviate; fits skipping the detailed explanation.,節約 (save money/resources) doesn't fit 'explanation'; 報告 (report) and 消費 (consume) are wrong meanings.
15,語彙,物価高で、生活()は去年の1.5倍になった,"Due to inflation, living costs became 1.5 times last year's.",費,ひ,金、代、料、費,生活費 (living expenses) is the fixed compound; 費 is the correct fee-suffix here.,"生活代, 生活料, 生活金 are not real words — different fee-suffixes attach to different nouns (e.g. 電気代, 送料), and 'living' only pairs with 費."
16,語彙,洗濯したのには()おいてください,Please fold the laundry and leave it (once it's washed).,たたんで,たたんで,折って、切って、たたんで、まいて,たたむ (to fold) is used for clothes/futons — fits laundry.,"折る (fold paper/bend something rigid), 切る (cut), 巻く (roll up) don't fit folding clothes."
17,語彙,タバコは吸わないほうがいいと思っていっても、仕事が終わると()吸ってしまう,"Even though I think I shouldn't smoke, I end up smoking without meaning to once work is over.",つい,つい,ついに、つい、とうとう、なるべく,つい = unintentionally/before one realizes it; fits the nuance of smoking despite knowing better.,"ついに and とうとう both mean 'finally, at last' (wrong nuance — this isn't a long-awaited event). なるべく means 'as much as possible,' the opposite direction of meaning."
18,語彙,父は60歳まで仕事()の生活をしてきた,My father has lived a life centered on work until age 60.,中心,ちゅうしん,注目、中心、全体、中旬,仕事中心の生活 ('a life centered on work') is the fixed pattern.,"注目 (attention/focus, as in a spotlight) and 全体 (the whole) and 中旬 (mid-month, ちゅうじゅん) don't fit this collocation."
19,語彙,妹が起きないように()部屋を出た,I quietly left the room so as not to wake my little sister.,そっと,そっと,じっと、ただ、ぐっすり、そっと,そっと = quietly/gently; fits the manner of leaving without waking someone.,"じっと (motionless/staring fixedly), ぐっすり (soundly — used for sleeping, not moving), ただ (only/merely) don't describe the manner of leaving quietly."
20,語彙,油は水に溶けない()がある,Oil has the property of not dissolving in water.,性質,せいしつ,性格、性質、特別、得意,性質 = the inherent nature/property of a thing; fits describing a physical property of oil.,"性格 (personality) is only used for people, not substances. 特別 (special) and 得意 (good at) are the wrong meanings."
21,語彙,授業中の()が悪いと先生に注意された,I was warned by the teacher for having a bad attitude in class.,態度,たいど,態度、癖、基本、格好,態度が悪い ('bad attitude/behavior') is the set phrase.,"癖 (habit), 基本 (basics), 格好 (appearance/shape) don't fit being warned by a teacher for behavior."
22,語彙,病院に行っているのに、よくならない。（）、病院を変えることにした,"I keep going to the hospital, but I'm not getting better. So, I decided to change hospitals.",そこで,そこで,そのうえ、それから、そして、そこで,そこで marks a resulting action taken because of the preceding situation — fits 'so I decided to.',"そのうえ (moreover, adds information) and それから (after that, sequence) and そして (and) don't carry the cause→resulting-decision logic そこで has."
23,語彙,靴が小さくて、（）が痛い,"My shoes are small, and my toes hurt.",つま先,つまさき,つま先、足首、ひじ、膝,つま先 (toes/tip of the foot) is the body part that would hurt from small shoes.,"足首 (ankle), ひじ (elbow), 膝 (knee) are all the wrong body part for tight shoes."
24,語彙,その大学を受けるのは、自分の力を（）みたいからです,The reason I'm applying to that university is because I want to test my own ability.,試して,ためして,試して、信じて、入れて、立って,試す = to test; fits 'testing one's own ability.',"信じて (believe), 入れて (put in), 立って (stand) are all the wrong meaning for testing one's ability."
25,語彙,パスポートは（）このカバンに入れたはずなんですけど。,I'm certain I put my passport in this bag...,確かに,たしかに,少しも、確かに、うっかり、すっかり,確かに = certainly/for sure; fits the speaker's confident claim paired with はず.,"うっかり (carelessly, implies forgetting — contradicts the certainty of はず), すっかり (completely, wrong nuance), 少しも (not even a little, requires a negative predicate) don't fit."
26,語彙,外国旅行は、景色も町のようすも、なんでも()に感じる,"On an overseas trip, everything — the scenery, the look of the town — feels fresh/new.",新鮮,しんせん,現代、国際、性格、新鮮,新鮮 = fresh/novel; fits everything feeling new and unfamiliar while traveling abroad.,"現代 (modern era), 国際 (international), 性格 (personality) are all the wrong meaning."
27,語彙,かびは暗くて（）が多い所にはえる,Mold grows in places that are dark and have a lot of moisture.,湿気,しっけ,温度、栄養、梅雨、湿気,湿気 = humidity/moisture; fits the conditions mold thrives in.,"温度 (temperature) and 栄養 (nutrition) don't naturally pair with 多い in this way. 梅雨 (rainy season) is a specific time period, not a general quality like 'a lot of.'"
28,語彙,夕べは10時まで仕事で会社に（）いた,Last night I stayed at the office working until 10 o'clock.,残って,のこって,残って、止まって、向かって、やって,残る = to remain/stay behind; fits staying late at the office.,止まって (stopped) and 向かって (facing/heading toward) are the wrong meaning; やって doesn't fit grammatically with 会社に.
29,語彙,本を読みながら、わからないところに線を（）,"While reading the book, I drew a line under the parts I didn't understand.",引いた,ひいた,足した、消した、引いた、囲んだ,線を引く ('to draw a line') is the set phrase.,"足した (added) and 消した (erased) are the wrong meaning; 囲んだ (circled) pairs with 丸で囲む, not 線を."
30,語彙,うっかり降りる駅を（）しまった,I carelessly rode past the station where I was supposed to get off.,乗り越して,のりこして,乗り換えて、乗り越して、乗り過ぎて、乗り遅れて,乗り越す = to ride past one's stop; fits missing the right station.,乗り換えて (transferred trains) and 乗り遅れて (missed the train/arrived too late to board) describe different situations. 乗り過ぎて is not a standard word.
31,語彙,この本のおかげで、日本の歴史に対する理解が（）,"Thanks to this book, my understanding of Japanese history deepened.",深まった,ふかまった,広まった、強まった、高まった、深まった,理解が深まる ('understanding deepens') is the fixed collocation.,"広まった (spread — used for rumors/customs), 強まった (strengthened — doesn't naturally pair with 理解), 高まった (rose — fits 関心 'interest' better than 理解) all miss the standard pairing."
32,語彙,3月は昼は暖かくても、朝と夜は()ことが多い,"In March, even when it's warm in the daytime, mornings and nights are often cold.",冷える,ひえる,冷える、冷やす、冷める、冷ます,"冷える is intransitive, describing temperature dropping on its own — fits mornings/nights getting cold.","冷やす and 冷ます are transitive (to cool something down deliberately); 冷める is used for something that was hot cooling down (food, enthusiasm) — wrong nuance for ambient temperature."
33,語彙,赤ちゃんの歯が()きた,The baby's teeth have started coming in.,生えて,はえて,生まれて、生えて、生きて、生んで,生える is used for hair/teeth/plants growing in — fits teeth coming in.,"生まれて (was born) is for living beings, not teeth; 生きて (lived) and 生んで (gave birth to, transitive) are the wrong meaning."
34,語彙,ネクタイが（）いますよ,Your tie is crooked.,曲がって,まがって,流れて、止まって、曲がって、貼って,曲がる = to be bent/crooked; fits describing a crooked tie.,"流れて (flowing), 止まって (stopped), 貼って (stuck on) are all the wrong meaning for a tie's appearance."
35,語彙,種類はメールでなく、（）してください,"Please send the documents by mail, not email.",郵送,ゆうそう,書留、郵便、速達、郵送,"郵送する = to send by post, the natural verb contrasting with email.","書留 (registered mail) and 速達 (express mail) are specific mail types, not the general 'send by post' verb; 郵便 (mail/the postal system) is a noun, not the action of sending."
36,語彙,()食べなくてもいいですよ,You don't have to force yourself to eat it.,無理,むり,無理、無駄、満足、不満,無理に／無理して collocates with '(don't) have to force yourself.',"無駄 (waste), 満足 (satisfaction), 不満 (dissatisfaction) are all the wrong meaning here."
37,語彙,彼はいつも（）ばかり言っていて、働こうとしない,He's always just complaining and won't try to work.,文句,もんく,問題、意見、文句、質問,文句を言う ('to complain') is the set phrase.,"問題 (problem), 意見 (opinion), 質問 (question) don't fit the same '～ばかり言う' pattern the way 文句 does."
38,語彙,約束を（）ような人は信用できない,You can't trust someone who breaks their promises.,やぶる,やぶる,わる、やぶる、こわす、たおす,約束を破る ('to break a promise') is the fixed collocation.,わる and こわす are used for breaking physical objects; たおす means 'to knock down' — none fit an abstract promise.
39,語彙,高校生でアルバイトする人の（）は年々増えている,The proportion of high schoolers who work part-time jobs is increasing year by year.,割合,わりあい,比例、割合、比較、割引,割合 = proportion/rate; fits describing what percentage of people do something.,比例 (mathematical proportionality) isn't used this way in everyday speech; 比較 (comparison) and 割引 (discount) are the wrong meaning.
40,語彙,クイズの答えを（）、ハワイに行こう！,Guess the quiz answer correctly and let's go to Hawaii!,当てて,あてて,当てて、ためして、決めて、くらべて,答えを当てる ('to guess the answer correctly') is the fixed phrase.,"ためして (try), 決めて (decide), くらべて (compare) don't fit 'guessing correctly.'"
41,語彙,駅前はおおぜいの人で（）していた,The area in front of the station was crowded with a lot of people.,こんざつ,こんざつ,集まり、こうふん、こんざつ、感動,混雑する ('to be crowded/congested') fits a busy station area.,"集まり (gathering) is a noun, not a natural verb here; 興奮 (excitement) and 感動 (being moved) are the wrong meaning."
42,語彙,有名な歌手が結婚するという（）が流れている,A rumor is going around that a famous singer is getting married.,うわさ,うわさ,広告、伝言、いたずら、うわさ,うわさが流れる ('a rumor circulates') is the fixed collocation.,"広告 (ad), 伝言 (message), いたずら (prank) are all the wrong meaning for something 'circulating' as gossip."
43,語彙,朝、子供を（）のが大変だ,It's a struggle to wake my child up in the morning.,起こす,おこす,すぎる、起きる、起こす、なくす,"起こす is the transitive verb ('to wake someone up'), matching the object marker 子供を.",起きる is intransitive ('to wake up' oneself) and can't take 子供を as its object; すぎる and なくす are the wrong meaning.
44,語彙,テレビを見ていて、いい考えを(),"While watching TV, I came up with a good idea.",思いついた,おもいついた,思いついた、うつった、思いやった、こえた,考えを思いつく ('to come up with an idea') is the fixed phrase.,"うつった (moved/shifted/was reflected), 思いやった (showed consideration for someone), こえた (exceeded) are all the wrong meaning."
45,語彙,この問題を（）方法はいくらでもある,There are plenty of ways to resolve this problem.,解決する,かいけつする,現れる、誤解する、解決する、希望する,問題を解決する ('to resolve a problem') is the fixed collocation.,"現れる (to appear), 誤解する (to misunderstand), 希望する (to hope for) don't fit 'ways to resolve a problem.'"
46,語彙,この薬はよく（）から、飲んでみなさい,"This medicine is very effective, so try taking it.",きく,きく,こぼす、当たる、きく、高める,"薬がきく (効く, 'medicine is effective') is the fixed collocation.","こぼす (to spill) and 高める (to raise, transitive) are the wrong meaning; 当たる (to hit/be correct) doesn't fit describing medicine's effectiveness."
